ans,contrast,shift,delay,figure
1.0,-1.0,-3.712374581939798,0.6336719989776611,5.0
1.0,-1.0,-25.384615384615383,0.6198341846466064,4.0
1.0,1.0,-13.946488294314381,0.42908811569213867,5.0
1.0,-1.0,22.575250836120404,0.3833119869232178,4.0
-1.0,-1.0,29.397993311036792,0.4470701217651367,4.0
1.0,1.0,-28.193979933110366,0.36267590522766113,3.0
-1.0,1.0,25.785953177257525,0.3201868534088135,5.0
1.0,1.0,14.347826086956523,0.35076212882995605,4.0
-1.0,-1.0,1.304347826086957,0.367595911026001,3.0
-1.0,1.0,-2.508361204013376,0.38559412956237793,4.0
1.0,-1.0,18.762541806020067,0.47750306129455566,5.0
-1.0,1.0,27.391304347826086,0.4659719467163086,4.0
1.0,-1.0,7.725752508361204,0.3647189140319824,5.0
-1.0,-1.0,20.769230769230774,0.3788621425628662,5.0
1.0,-1.0,6.321070234113712,0.35261082649230957,3.0
-1.0,1.0,25.585284280936456,0.35350894927978516,4.0
1.0,-1.0,22.173913043478265,0.3511238098144531,3.0
-1.0,-1.0,22.775919732441473,0.38193607330322266,5.0
1.0,1.0,-26.588628762541806,0.35666418075561523,4.0
-1.0,-1.0,-1.7056856187290954,0.6978600025177002,5.0
1.0,1.0,-14.54849498327759,0.4016890525817871,4.0
-1.0,-1.0,-25.183946488294314,0.39519596099853516,3.0
1.0,1.0,28.19397993311037,0.40160608291625977,3.0
-1.0,-1.0,2.9096989966555213,0.5005578994750977,5.0
-1.0,1.0,-1.9063545150501682,0.5019471645355225,5.0
1.0,-1.0,29.59866220735786,0.3828310966491699,4.0
-1.0,1.0,0.1003344481605346,0.7431879043579102,3.0
1.0,-1.0,-4.314381270903009,0.4740939140319824,3.0
1.0,-1.0,17.558528428093645,0.4955308437347412,4.0
1.0,-1.0,9.93311036789298,0.3880629539489746,5.0
1.0,1.0,25.183946488294318,0.3824729919433594,3.0
1.0,1.0,6.120401337792643,0.3657379150390625,3.0
1.0,-1.0,-26.789297658862875,0.570000171661377,5.0
-1.0,-1.0,0.7023411371237458,0.48274803161621094,5.0
1.0,1.0,24.581939799331103,0.43094897270202637,4.0
1.0,-1.0,12.742474916387962,0.39622998237609863,5.0
1.0,1.0,23.37792642140468,0.4000508785247803,4.0
-1.0,1.0,-6.722408026755851,0.460629940032959,5.0
1.0,-1.0,-29.19732441471572,0.3834259510040283,3.0
-1.0,1.0,-17.959866220735783,0.4956040382385254,5.0
1.0,-1.0,19.364548494983282,0.3355519771575928,4.0
1.0,1.0,4.515050167224082,0.4193098545074463,4.0
-1.0,1.0,-0.5016722408026766,0.4331858158111572,4.0
1.0,-1.0,10.535117056856187,0.3939480781555176,4.0
-1.0,1.0,19.163879598662206,0.3664438724517822,3.0
1.0,-1.0,-29.79933110367893,0.41315293312072754,5.0
-1.0,1.0,-29.598662207357858,0.48006105422973633,4.0
1.0,1.0,11.53846153846154,0.42093801498413086,4.0
-1.0,1.0,25.986622073578594,0.4026329517364502,5.0
1.0,-1.0,-7.725752508361204,0.34554004669189453,5.0
1.0,-1.0,-21.170568561872912,0.3330240249633789,3.0
1.0,1.0,18.36120401337793,0.3762810230255127,4.0
1.0,1.0,26.989966555183948,0.513728141784668,5.0
1.0,1.0,13.745819397993316,0.44883012771606445,5.0
1.0,1.0,-22.775919732441473,0.5088980197906494,5.0
1.0,-1.0,15.551839464882946,0.42475104331970215,4.0
1.0,1.0,16.5551839464883,0.45246195793151855,4.0
-1.0,-1.0,-5.518394648829432,0.4958000183105469,4.0
1.0,1.0,5.7190635451505045,0.3883540630340576,5.0
-1.0,1.0,-3.9130434782608674,0.36667919158935547,5.0
-1.0,-1.0,-7.324414715719062,0.44437623023986816,3.0
1.0,1.0,-26.989966555183948,0.41629600524902344,5.0
-1.0,1.0,-23.97993311036789,0.41179490089416504,5.0
1.0,1.0,4.916387959866221,0.4797220230102539,5.0
-1.0,-1.0,4.715719063545151,0.4455690383911133,5.0
1.0,-1.0,26.187290969899664,0.4933609962463379,3.0
-1.0,1.0,-2.7090301003344486,0.3228311538696289,5.0
-1.0,-1.0,-14.749163879598662,0.38643908500671387,5.0
-1.0,-1.0,22.374581939799334,0.30477190017700195,4.0
1.0,1.0,21.170568561872912,0.23605704307556152,3.0
1.0,-1.0,15.953177257525084,0.37866711616516113,5.0
1.0,-1.0,7.123745819397996,0.3372819423675537,3.0
-1.0,1.0,-1.304347826086957,0.3328227996826172,3.0
-1.0,1.0,-27.993311036789297,0.3496739864349365,5.0
1.0,1.0,10.133779264214049,0.31905102729797363,3.0
-1.0,1.0,-16.956521739130434,0.29811811447143555,5.0
1.0,-1.0,-5.91973244147157,0.3198549747467041,5.0
1.0,-1.0,-22.37458193979933,0.301192045211792,4.0
1.0,-1.0,24.98327759197325,0.32085585594177246,5.0
1.0,-1.0,-3.110367892976587,0.354705810546875,3.0
-1.0,-1.0,2.1070234113712374,0.4439361095428467,3.0
1.0,1.0,16.153846153846153,0.011523008346557617,3.0
1.0,-1.0,7.5250836120401345,0.6292991638183594,4.0
1.0,1.0,27.9933110367893,0.4191899299621582,5.0
1.0,-1.0,18.16053511705686,0.36087894439697266,3.0
1.0,-1.0,-22.5752508361204,0.38160204887390137,4.0
-1.0,-1.0,29.197324414715723,0.33382201194763184,3.0
1.0,1.0,-6.521739130434781,0.3172941207885742,4.0
-1.0,1.0,11.137123745819402,0.47600293159484863,3.0
1.0,1.0,-22.17391304347826,0.3889319896697998,3.0
1.0,1.0,-11.137123745819398,0.3246939182281494,3.0
1.0,-1.0,-16.354515050167223,0.29100990295410156,4.0
1.0,1.0,21.77257525083612,0.27330589294433594,5.0
1.0,1.0,16.956521739130437,0.37186098098754883,5.0
1.0,1.0,-20.16722408026756,0.3552529811859131,3.0
1.0,1.0,-11.73913043478261,0.3185410499572754,5.0
1.0,1.0,-9.531772575250837,0.3492889404296875,4.0
1.0,-1.0,-8.929765886287626,0.33132100105285645,5.0
1.0,1.0,20.969899665551843,0.5581209659576416,5.0
-1.0,1.0,-18.561872909698998,0.34708595275878906,4.0
1.0,1.0,-27.391304347826086,0.2770421504974365,4.0
-1.0,-1.0,4.314381270903013,0.4798290729522705,3.0
1.0,1.0,21.57190635451505,0.3468630313873291,4.0
1.0,1.0,-0.7023411371237458,0.37967991828918457,5.0
1.0,-1.0,19.76588628762542,0.2992899417877197,5.0
-1.0,-1.0,-12.943143812709028,0.39471006393432617,5.0
-1.0,-1.0,-15.150501672240802,0.5557701587677002,3.0
1.0,1.0,23.578595317725757,0.3244669437408447,4.0
-1.0,1.0,-0.3010033444816038,0.2162320613861084,3.0
1.0,1.0,26.38795986622074,0.29137182235717773,4.0
1.0,1.0,5.919732441471574,0.24103903770446777,5.0
1.0,1.0,10.936454849498325,0.27504992485046387,5.0
1.0,1.0,12.140468227424748,0.6900429725646973,3.0
1.0,-1.0,8.327759197324418,0.3781309127807617,3.0
-1.0,-1.0,-5.11705685618729,0.3470430374145508,3.0
-1.0,-1.0,3.712374581939798,0.29869604110717773,5.0
-1.0,-1.0,8.127090301003342,0.3259398937225342,3.0
1.0,1.0,-25.585284280936456,0.28762006759643555,4.0
-1.0,1.0,-5.317725752508359,0.40190887451171875,3.0
1.0,-1.0,-12.140468227424748,0.3963007926940918,3.0
1.0,-1.0,-27.591973244147155,0.2705249786376953,4.0
-1.0,-1.0,-18.160535117056856,0.31129884719848633,3.0
-1.0,1.0,-4.916387959866221,0.3494100570678711,5.0
1.0,1.0,-11.538461538461537,0.4167919158935547,4.0
-1.0,-1.0,-18.762541806020067,0.4132711887359619,5.0
-1.0,-1.0,-21.77257525083612,0.36543917655944824,5.0
1.0,-1.0,-17.759197324414714,0.3781919479370117,5.0
-1.0,1.0,-10.334448160535118,0.401623010635376,4.0
1.0,-1.0,-18.361204013377925,0.33850908279418945,4.0
-1.0,-1.0,24.782608695652172,0.3555328845977783,5.0
-1.0,1.0,-21.37123745819398,0.30254507064819336,4.0
1.0,1.0,20.568561872909697,0.3198380470275879,4.0
1.0,1.0,-24.782608695652172,0.2865180969238281,5.0
-1.0,1.0,27.190635451505017,0.365185022354126,3.0
-1.0,-1.0,-15.752508361204013,0.35254716873168945,5.0
1.0,-1.0,8.729096989966557,0.3028271198272705,5.0
1.0,-1.0,26.58862876254181,0.4213399887084961,4.0
-1.0,-1.0,5.317725752508359,0.23967480659484863,3.0
-1.0,1.0,18.963210702341136,0.5566260814666748,5.0
1.0,-1.0,-17.157190635451506,0.3039860725402832,3.0
-1.0,-1.0,3.1103678929765906,0.37946605682373047,3.0
1.0,1.0,-14.14715719063545,0.47438907623291016,3.0
-1.0,1.0,-9.331103678929765,0.25484299659729004,3.0
1.0,1.0,-6.923076923076923,0.2390739917755127,5.0
-1.0,1.0,12.943143812709032,0.3216989040374756,5.0
-1.0,-1.0,-8.127090301003342,0.30084800720214844,3.0
-1.0,-1.0,0.9030100334448186,0.2546839714050293,5.0
-1.0,1.0,-13.745819397993312,0.2700319290161133,5.0
-1.0,1.0,27.79264214046823,0.4351320266723633,5.0
1.0,-1.0,-3.3110367892976598,0.3357408046722412,3.0
-1.0,-1.0,-19.163879598662206,0.38124513626098633,3.0
1.0,-1.0,27.591973244147155,0.3337669372558594,4.0
-1.0,-1.0,28.996655518394647,0.34953880310058594,5.0
1.0,1.0,7.324414715719065,0.4414849281311035,3.0
-1.0,1.0,19.56521739130435,0.341217041015625,4.0
1.0,-1.0,6.722408026755851,0.3479330539703369,5.0
1.0,-1.0,-0.1003344481605346,0.4345080852508545,3.0
1.0,1.0,23.17725752508361,0.3534200191497803,3.0
1.0,1.0,-29.39799331103679,0.40987086296081543,4.0
1.0,1.0,-27.190635451505017,0.33521199226379395,3.0
1.0,-1.0,6.521739130434781,0.33667898178100586,4.0
1.0,-1.0,-28.59531772575251,0.2819950580596924,4.0
1.0,-1.0,-23.37792642140468,0.3117849826812744,4.0
1.0,1.0,23.979933110367895,0.35892200469970703,5.0
1.0,1.0,-16.755852842809364,0.4349639415740967,5.0
1.0,1.0,-16.55518394648829,0.5278520584106445,4.0
1.0,1.0,-28.99665551839465,0.3802058696746826,5.0
1.0,1.0,12.341137123745817,0.36892104148864746,4.0
1.0,1.0,11.939799331103679,0.5801420211791992,5.0
-1.0,-1.0,1.705685618729099,0.32596611976623535,5.0
1.0,-1.0,25.384615384615387,0.4162411689758301,4.0
1.0,1.0,4.113712374581944,0.43300294876098633,3.0
-1.0,-1.0,-14.949832775919733,0.41414499282836914,5.0
1.0,1.0,-19.76588628762542,0.3580899238586426,5.0
-1.0,1.0,28.795986622073578,0.3568542003631592,5.0
1.0,1.0,-15.351170568561873,0.460435152053833,4.0
1.0,-1.0,23.779264214046826,0.3019540309906006,5.0
1.0,-1.0,17.157190635451506,0.5111701488494873,3.0
1.0,1.0,-24.983277591973245,0.37929320335388184,5.0
1.0,-1.0,8.929765886287626,0.5273258686065674,5.0
1.0,1.0,14.949832775919731,0.4055061340332031,5.0
1.0,1.0,-12.742474916387959,0.30529093742370605,5.0
1.0,1.0,9.531772575250834,0.34853100776672363,4.0
1.0,-1.0,-22.976588628762542,0.36606788635253906,5.0
1.0,-1.0,24.381270903010034,0.38221192359924316,4.0
1.0,-1.0,-19.364548494983275,0.4233541488647461,4.0
1.0,1.0,-17.558528428093645,0.5290319919586182,4.0
1.0,1.0,-8.528428093645484,0.420590877532959,4.0
-1.0,-1.0,-8.327759197324415,0.5018978118896484,3.0
1.0,1.0,-9.130434782608695,0.4041759967803955,3.0
-1.0,-1.0,-9.933110367892976,0.3257460594177246,5.0
