ans,contrast,shift,delay,figure
1.0,-1.0,-21.779599186710747,2.0114049911499023,5.0
-1.0,1.0,-10.949559692424852,0.17341899871826172,5.0
1.0,-1.0,-20.77796956058279,0.8986630439758301,4.0
-1.0,1.0,-2.1020917890594975,0.1607518196105957,1.0
1.0,1.0,13.013039507372925,0.17989492416381836,1.0
-1.0,-1.0,-29.972669822847337,0.165208101272583,4.0
1.0,1.0,7.091894122317225,0.1741008758544922,1.0
-1.0,-1.0,43.86538914162497,0.3571779727935791,5.0
1.0,-1.0,-10.994196011247556,0.47670817375183105,1.0
1.0,-1.0,7.147612934118939,0.18540596961975098,2.0
