ans,contrast,shift,delay,figure
1.0,1.0,20.834894648882027,0.21426701545715332,1.0
-1.0,-1.0,-23.333406157993753,0.30109381675720215,3.0
-1.0,1.0,-7.70787794861871,0.20677518844604492,1.0
-1.0,-1.0,-38.75156313831668,0.23169517517089844,2.0
1.0,-1.0,-6.98369687174388,0.5081968307495117,2.0
-1.0,1.0,-37.140653213782365,0.5082380771636963,1.0
-1.0,1.0,30.866980691222835,0.16055798530578613,3.0
-1.0,1.0,-41.71393141282127,0.275238037109375,1.0
-1.0,-1.0,1.1024794728330105,0.18352508544921875,2.0
-1.0,1.0,-1.841953640412748,0.24669885635375977,1.0
