ans,contrast,shift,delay,figure
-1.0,-1.0,14.697986577181204,0.5159869194030762,3.0
1.0,-1.0,-17.516778523489933,0.9221150875091553,2.0
1.0,1.0,2.617449664429529,0.4024169445037842,2.0
-1.0,-1.0,19.530201342281877,0.33626508712768555,2.0
-1.0,-1.0,7.04697986577181,0.4501368999481201,1.0
-1.0,-1.0,-18.322147651006713,0.37934303283691406,1.0
1.0,-1.0,-27.181208053691275,0.4449279308319092,1.0
1.0,1.0,28.38926174496644,0.3745388984680176,2.0
-1.0,-1.0,-0.2013422818791959,0.41429686546325684,1.0
1.0,1.0,14.295302013422813,0.4741368293762207,1.0
-1.0,1.0,-15.100671140939598,0.4220399856567383,1.0
1.0,-1.0,15.100671140939596,0.4386889934539795,1.0
-1.0,-1.0,-0.6040268456375841,0.5138587951660156,2.0
1.0,-1.0,-1.4093959731543642,0.3050260543823242,2.0
1.0,1.0,26.77852348993288,0.5373630523681641,3.0
-1.0,-1.0,23.95973154362416,0.5268490314483643,3.0
1.0,1.0,24.765100671140935,0.3283998966217041,3.0
-1.0,-1.0,-29.59731543624161,0.520064115524292,2.0
1.0,1.0,-3.8255033557047007,0.4673769474029541,3.0
-1.0,-1.0,22.3489932885906,0.4380171298980713,2.0
-1.0,-1.0,21.543624161073822,0.5346920490264893,2.0
-1.0,1.0,11.879194630872483,0.5992341041564941,3.0
-1.0,1.0,-25.57046979865772,0.39790892601013184,2.0
-1.0,1.0,-10.671140939597315,0.4786670207977295,3.0
1.0,-1.0,-22.348993288590606,0.42301321029663086,2.0
1.0,-1.0,20.335570469798654,0.6293690204620361,2.0
-1.0,-1.0,-21.140939597315437,0.4577031135559082,1.0
1.0,1.0,27.986577181208048,0.538334846496582,3.0
1.0,1.0,7.852348993288587,0.511821985244751,3.0
-1.0,-1.0,-22.751677852348994,0.8478128910064697,3.0
1.0,1.0,10.268456375838923,0.4339120388031006,1.0
-1.0,-1.0,8.65771812080537,0.4115478992462158,2.0
1.0,-1.0,-14.69798657718121,0.39462900161743164,3.0
-1.0,1.0,-26.375838926174495,0.42018723487854004,2.0
1.0,1.0,16.308724832214764,1.0028648376464844,1.0
1.0,1.0,6.644295302013418,0.6099159717559814,2.0
1.0,1.0,11.0738255033557,0.42893195152282715,1.0
-1.0,1.0,-5.033557046979869,0.4271979331970215,1.0
-1.0,1.0,1.0067114093959724,0.6177771091461182,1.0
1.0,-1.0,-24.36241610738255,0.7915310859680176,2.0
1.0,1.0,20.738255033557046,0.4743800163269043,3.0
1.0,1.0,23.154362416107382,0.45669007301330566,1.0
-1.0,-1.0,-9.46308724832215,0.587054967880249,2.0
1.0,1.0,15.50335570469798,0.4185750484466553,2.0
1.0,1.0,27.583892617449663,0.44791698455810547,2.0
1.0,1.0,17.516778523489933,0.3981750011444092,2.0
1.0,-1.0,-19.127516778523493,0.5773971080780029,1.0
1.0,1.0,25.57046979865771,0.3830108642578125,2.0
1.0,-1.0,-28.79194630872483,0.44229984283447266,3.0
-1.0,1.0,-6.644295302013425,0.3672831058502197,2.0
-1.0,-1.0,5.838926174496642,0.47362494468688965,3.0
-1.0,-1.0,27.18120805369127,0.5142619609832764,1.0
-1.0,1.0,-2.214765100671144,0.46095800399780273,1.0
1.0,-1.0,28.79194630872483,0.720850944519043,3.0
1.0,-1.0,12.68456375838926,0.4233131408691406,3.0
1.0,-1.0,-9.060402684563758,0.5529870986938477,1.0
1.0,-1.0,-13.892617449664431,0.3713719844818115,3.0
1.0,1.0,5.43624161073825,0.5483860969543457,2.0
1.0,-1.0,22.75167785234899,0.4046630859375,3.0
1.0,-1.0,10.671140939597315,0.4250180721282959,3.0
-1.0,-1.0,4.630872483221474,0.4350011348724365,2.0
1.0,1.0,5.033557046979865,0.4678690433502197,1.0
-1.0,-1.0,-24.76510067114094,0.5294208526611328,3.0
-1.0,-1.0,-19.530201342281877,0.40934205055236816,2.0
-1.0,1.0,-21.543624161073826,0.4498450756072998,2.0
-1.0,1.0,-4.630872483221477,0.3972771167755127,2.0
-1.0,-1.0,26.375838926174495,0.6793570518493652,2.0
-1.0,1.0,-6.241610738255034,0.506742000579834,1.0
1.0,1.0,-17.919463087248324,0.37949395179748535,3.0
-1.0,-1.0,29.194630872483216,0.41781091690063477,1.0
1.0,-1.0,3.825503355704697,0.4045848846435547,3.0
1.0,1.0,9.463087248322147,0.4084179401397705,2.0
-1.0,-1.0,-28.389261744966444,0.40501904487609863,2.0
1.0,1.0,-21.946308724832214,0.3909621238708496,3.0
-1.0,-1.0,0.6040268456375806,0.4132080078125,2.0
-1.0,1.0,-23.557046979865774,0.4472620487213135,2.0
-1.0,1.0,-11.073825503355707,0.4882960319519043,1.0
-1.0,-1.0,-11.879194630872483,0.5685768127441406,3.0
1.0,-1.0,-10.268456375838927,0.4058239459991455,1.0
-1.0,-1.0,21.946308724832214,0.43627309799194336,3.0
1.0,1.0,0.20134228187919234,0.45473289489746094,1.0
-1.0,1.0,-16.711409395973156,0.39223814010620117,3.0
1.0,1.0,29.597315436241608,0.32552504539489746,2.0
1.0,1.0,13.892617449664428,0.35299205780029297,3.0
1.0,1.0,15.906040268456373,0.4098498821258545,3.0
-1.0,1.0,11.476510067114091,0.31568288803100586,2.0
1.0,1.0,13.087248322147651,0.6680440902709961,1.0
-1.0,-1.0,-20.335570469798657,0.4338819980621338,2.0
1.0,1.0,9.060402684563755,0.3615729808807373,1.0
