ans,contrast,shift,delay,figure
1.0,1.0,4.697986577181208,0.25696396827697754,7.0
-1.0,-1.0,9.798657718120804,0.2972259521484375,7.0
1.0,1.0,-13.557046979865772,0.20622801780700684,6.0
1.0,-1.0,19.194630872483224,0.38933610916137695,3.0
-1.0,1.0,-19.19463087248322,0.6427512168884277,3.0
-1.0,1.0,-3.0872483221476514,0.2416379451751709,3.0
1.0,1.0,0.9395973154362416,0.2820858955383301,7.0
-1.0,1.0,-11.946308724832214,0.2350599765777588,7.0
-1.0,1.0,-2.550335570469798,0.1860969066619873,6.0
1.0,1.0,4.966442953020135,0.2536029815673828,7.0
-1.0,1.0,-14.899328859060404,0.16562819480895996,7.0
1.0,-1.0,-17.315436241610737,0.22032999992370605,3.0
-1.0,-1.0,-7.651006711409396,0.1485729217529297,6.0
1.0,-1.0,-3.624161073825505,0.13024306297302246,6.0
1.0,1.0,2.8187919463087248,0.19571781158447266,7.0
1.0,-1.0,-19.463087248322147,0.23811602592468262,6.0
1.0,-1.0,1.7449664429530216,0.8767571449279785,7.0
-1.0,-1.0,3.355704697986578,0.20652413368225098,6.0
1.0,-1.0,9.261744966442954,0.2351548671722412,3.0
1.0,1.0,6.308724832214764,0.21525311470031738,3.0
1.0,-1.0,-2.0134228187919447,0.19315195083618164,3.0
-1.0,1.0,-9.261744966442953,0.39692187309265137,3.0
1.0,-1.0,16.241610738255034,0.2226428985595703,3.0
-1.0,-1.0,-4.697986577181208,0.23157215118408203,7.0
-1.0,1.0,15.436241610738257,0.561661958694458,6.0
1.0,1.0,17.31543624161074,0.2705519199371338,3.0
1.0,-1.0,-4.966442953020135,0.2731790542602539,7.0
1.0,1.0,14.36241610738255,0.46755504608154297,6.0
1.0,1.0,4.429530201342281,0.1752181053161621,6.0
-1.0,1.0,0.40268456375838824,0.7093091011047363,6.0
1.0,1.0,2.550335570469798,0.2730700969696045,6.0
1.0,1.0,-8.456375838926174,1.2309329509735107,6.0
1.0,-1.0,-15.167785234899329,0.39444804191589355,3.0
-1.0,-1.0,-18.389261744966444,0.4532909393310547,6.0
-1.0,1.0,-14.36241610738255,0.43450212478637695,6.0
-1.0,-1.0,-11.140939597315436,0.3805859088897705,3.0
-1.0,1.0,-6.0402684563758395,0.9143760204315186,3.0
1.0,1.0,8.724832214765101,0.25705790519714355,7.0
-1.0,-1.0,6.577181208053691,0.4313371181488037,6.0
1.0,1.0,19.463087248322147,0.21217989921569824,6.0
1.0,-1.0,-17.85234899328859,0.27075910568237305,7.0
-1.0,1.0,-3.892617449664428,0.21178412437438965,7.0
1.0,-1.0,1.476510067114095,0.412200927734375,6.0
-1.0,-1.0,-18.926174496644297,0.45154380798339844,7.0
-1.0,-1.0,-18.120805369127517,0.4915659427642822,3.0
1.0,-1.0,-2.2818791946308714,0.18677997589111328,3.0
1.0,-1.0,14.899328859060404,1.0729620456695557,7.0
1.0,1.0,13.557046979865774,0.33431100845336914,6.0
1.0,-1.0,0.13422818791946156,0.34206700325012207,3.0
-1.0,-1.0,10.87248322147651,0.46146106719970703,7.0
